CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
031740002021081027;03174000;10/08/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.15
031740002018101027;03174000;10/10/2018;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9
031740002017091227;03174000;12/09/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.75
031740002016091927;03174000;19/09/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.51
031740002013082927;03174000;29/08/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);7.14
031746952023082327;03174695;23/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.33
031746952021081927;03174695;19/08/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.92
031746952020052727;03174695;27/05/2020;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.25
031746952019061327;03174695;13/06/2019;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.21
031746952017060827;03174695;08/06/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.9
031746952016092727;03174695;27/09/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.7
031746952010072727;03174695;27/07/2010;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.09
031750002023082327;03175000;23/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.09
031750002021062127;03175000;21/06/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.93
031750002020072827;03175000;28/07/2020;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.2
031750002019061327;03175000;13/06/2019;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.69
031750002017092127;03175000;21/09/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.24
031750002016092827;03175000;28/09/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.93
031750002015070727;03175000;07/07/2015;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.48
031750002014073027;03175000;30/07/2014;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.04
031750002013091827;03175000;18/09/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.04
031750002011091427;03175000;14/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.53
031769452023082227;03176945;22/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.88
031769452021062127;03176945;21/06/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.39
031769452020051227;03176945;12/05/2020;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.72
031769452019061427;03176945;14/06/2019;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.67
031769452017060927;03176945;09/06/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.67
031769452016092827;03176945;28/09/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.95
031769452015070627;03176945;06/07/2015;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.44
031769452014072827;03176945;28/07/2014;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.5
031769452013091727;03176945;17/09/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.55
031769452011091427;03176945;14/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.77
031780002023082227;03178000;22/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.81
031780002021081927;03178000;19/08/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.01
031780002019091727;03178000;17/09/2019;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.93
031780002017100527;03178000;05/10/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.41
031780002016092827;03178000;28/09/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.41
031780002015070627;03178000;06/07/2015;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.75
031780002014100127;03178000;01/10/2014;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.51
031780002013091727;03178000;17/09/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.45
031780002012082727;03178000;27/08/2012;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.84
031780002010072727;03178000;27/07/2010;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.92
031785202011091227;03178520;12/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);11.14
031786602024080627;03178660;06/08/2024;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.35
031786602023082327;03178660;23/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.42
031786602022062227;03178660;22/06/2022;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.14
031786602021061827;03178660;18/06/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.21
031786602020070227;03178660;02/07/2020;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.27
031786602018091927;03178660;19/09/2018;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.92
031786602017060827;03178660;08/06/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.77
031786602016081727;03178660;17/08/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.32
031786602015070727;03178660;07/07/2015;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.28
031786602014072927;03178660;29/07/2014;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.15
031786602013090427;03178660;04/09/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.44
031786922012082127;03178692;21/08/2012;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.76
031786922011091327;03178692;13/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.73
031788352024071127;03178835;11/07/2024;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.66
031788352023082327;03178835;23/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.47
031788352022062227;03178835;22/06/2022;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.77
031788352021061927;03178835;19/06/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.65
031788352020070327;03178835;03/07/2020;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.17
031788352018080227;03178835;02/08/2018;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.81
031788352017060827;03178835;08/06/2017;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);8.2
031788352016081727;03178835;17/08/2016;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.74
031788352015070827;03178835;08/07/2015;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.92
031788352014072927;03178835;29/07/2014;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.28
031788352013090527;03178835;05/09/2013;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.36
031788702012082127;03178870;21/08/2012;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);9.33
031790002011091327;03179000;13/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);11.14
031790002010070127;03179000;01/07/2010;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.82
031797402011091327;03179740;13/09/2011;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.56
031801002023082427;03180100;24/08/2023;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.48
031801002021061927;03180100;19/06/2021;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.82
031801002019091827;03180100;18/09/2019;2928;Indice Biologique Macrophytique en Rivière (I.B.M.R.);10.28
