CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
03174000200204034;03174000;03/04/2002;7036;IPR;48.557491
03174000200204034;03174000;03/04/2002;NA;ALT;200
03174000200305274;03174000;27/05/2003;7036;IPR;37.858204
03174000200305274;03174000;27/05/2003;NA;ALT;200
03174000200409304;03174000;30/09/2004;7036;IPR;42.866577
03174000200409304;03174000;30/09/2004;NA;ALT;200
03174000200509234;03174000;23/09/2005;7036;IPR;40.010251
03174000200509234;03174000;23/09/2005;NA;ALT;200
03174000200610094;03174000;09/10/2006;7036;IPR;25.835728
03174000200610094;03174000;09/10/2006;NA;ALT;200
03174000200709284;03174000;28/09/2007;7036;IPR;23.370688
03174000200709284;03174000;28/09/2007;NA;ALT;200
03174000200810084;03174000;08/10/2008;7036;IPR;30.70646
03174000200810084;03174000;08/10/2008;NA;ALT;200
03174000200910154;03174000;15/10/2009;7036;IPR;27.666915
03174000200910154;03174000;15/10/2009;NA;ALT;200
03174000201010144;03174000;14/10/2010;7036;IPR;5.69186
03174000201010144;03174000;14/10/2010;NA;ALT;200
03174000201110184;03174000;18/10/2011;7036;IPR;17.900727
03174000201110184;03174000;18/10/2011;NA;ALT;200
03174000201210164;03174000;16/10/2012;7036;IPR;14.480527
03174000201210164;03174000;16/10/2012;NA;ALT;200
03174000201310114;03174000;11/10/2013;7036;IPR;9.501006
03174000201310114;03174000;11/10/2013;NA;ALT;200
03174000201409114;03174000;11/09/2014;7036;IPR;29.390158
03174000201409114;03174000;11/09/2014;NA;ALT;200
03174000201510054;03174000;05/10/2015;7036;IPR;13.682521
03174000201510054;03174000;05/10/2015;NA;ALT;200
03174000201610114;03174000;11/10/2016;7036;IPR;12.978294
03174000201610114;03174000;11/10/2016;NA;ALT;200
03174000201709074;03174000;07/09/2017;7036;IPR;17.130321
03174000201709074;03174000;07/09/2017;NA;ALT;200
03174000201909304;03174000;30/09/2019;7036;IPR;35.061748
03174000201909304;03174000;30/09/2019;NA;ALT;200
03174000202010084;03174000;08/10/2020;7036;IPR;27.51854
03174000202010084;03174000;08/10/2020;NA;ALT;200
03174000202110184;03174000;18/10/2021;7036;IPR;34.620353
03174000202110184;03174000;18/10/2021;NA;ALT;200
03174000202210044;03174000;04/10/2022;7036;IPR;58.528116
03174000202210044;03174000;04/10/2022;NA;ALT;200
03174000202310024;03174000;02/10/2023;7036;IPR;34.508104
