CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
031721502020061710;03172150;17/06/2020;5856;IBD;17.4
031721502015070210;03172150;02/07/2015;5856;IBD;17.8
031721502014081810;03172150;18/08/2014;5856;IBD;15.1
031723802020061710;03172380;17/06/2020;5856;IBD;16.5
031723802017091210;03172380;12/09/2017;5856;IBD;15.7
031723852013080510;03172385;05/08/2013;5856;IBD;14.8
031723852012090410;03172385;04/09/2012;5856;IBD;15.7
031723922020061710;03172392;17/06/2020;5856;IBD;18.3
031723922015070210;03172392;02/07/2015;5856;IBD;18.1
031723922014072810;03172392;28/07/2014;5856;IBD;18.4
031730002024091710;03173000;17/09/2024;5856;IBD;12.3
031730002023092110;03173000;21/09/2023;5856;IBD;12.9
031730002022082510;03173000;25/08/2022;5856;IBD;11.4
031730002021090210;03173000;02/09/2021;5856;IBD;13.8
031730002020092210;03173000;22/09/2020;5856;IBD;13.1
031730002019101010;03173000;10/10/2019;5856;IBD;11.9
031730002018101110;03173000;11/10/2018;5856;IBD;12.6
031730002017101910;03173000;19/10/2017;5856;IBD;13.6
031730002016101310;03173000;13/10/2016;5856;IBD;14.5
031730002015091710;03173000;17/09/2015;5856;IBD;11.8
031730002014100910;03173000;09/10/2014;5856;IBD;8
031730002013110510;03173000;05/11/2013;5856;IBD;14.4
031730002012111310;03173000;13/11/2012;5856;IBD;13.9
031730002011110910;03173000;09/11/2011;5856;IBD;8.3
031730002010111710;03173000;17/11/2010;5856;IBD;12.6
031730082024082110;03173008;21/08/2024;5856;IBD;15.5
031730082020061710;03173008;17/06/2020;5856;IBD;14.3
031730082015070210;03173008;02/07/2015;5856;IBD;15.9
031730082014072810;03173008;28/07/2014;5856;IBD;14.5
031732732020061810;03173273;18/06/2020;5856;IBD;20
031732732017091210;03173273;12/09/2017;5856;IBD;15.2
031740002024091710;03174000;17/09/2024;5856;IBD;14.6
031740002023072710;03174000;27/07/2023;5856;IBD;9.5
031740002022082510;03174000;25/08/2022;5856;IBD;12.4
031740002021101910;03174000;19/10/2021;5856;IBD;13.9
031740002021090210;03174000;02/09/2021;5856;IBD;14
031740002020100610;03174000;06/10/2020;5856;IBD;12.7
031740002020092210;03174000;22/09/2020;5856;IBD;13.3
031740002019101010;03174000;10/10/2019;5856;IBD;12.1
031740002018101110;03174000;11/10/2018;5856;IBD;12.6
031740002017102010;03174000;20/10/2017;5856;IBD;12.8
031740002016101310;03174000;13/10/2016;5856;IBD;13.9
031740002015091810;03174000;18/09/2015;5856;IBD;13.2
031740002014100710;03174000;07/10/2014;5856;IBD;14
031740002013110810;03174000;08/11/2013;5856;IBD;13.7
031740002012120310;03174000;03/12/2012;5856;IBD;13.1
031740002010111710;03174000;17/11/2010;5856;IBD;12.6
031742112022081810;03174211;18/08/2022;5856;IBD;11.4
031742112021101910;03174211;19/10/2021;5856;IBD;13.3
