CODE_STATION	TYPO_NATIONALE	TG_BV	PERIODE_DEBUT	PERIODE_FIN
03172150	TP9	NON	2014	2014
03172150	TP9	NON	2015	2015
03172150	TP9	NON	2016	2016
03172150	TP9	NON	2017	2017
03172150	TP9	NON	2018	2018
03172150	TP9	NON	2019	2019
03172150	TP9	NON	2020	2020
03172385	TP9	NON	2012	2012
03172385	TP9	NON	2013	2013
03172392	P9-A	NON	2014	2014
03172392	P9-A	NON	2015	2015
03172392	P9-A	NON	2016	2016
03172392	P9-A	NON	2017	2017
03172392	P9-A	NON	2018	2018
03172392	P9-A	NON	2019	2019
03172392	P9-A	NON	2020	2020
03173000	TG9	OUI	2010	2010
03173000	TG9	OUI	2011	2011
03173000	TG9	OUI	2012	2012
03173000	TG9	OUI	2013	2013
03173000	TG9	OUI	2014	2014
03173000	TG9	OUI	2015	2015
03173000	TG9	OUI	2016	2016
03173000	TG9	OUI	2017	2017
03173000	TG9	OUI	2018	2018
03173000	TG9	OUI	2019	2019
03173000	TG9	OUI	2020	2020
03173000	TG9	OUI	2021	2021
03173000	TG9	OUI	2022	2022
03173000	TG9	OUI	2023	2023
03173000	TG9	OUI	2024	2024
03173008	TP9	NON	2014	2014
03173008	TP9	NON	2015	2015
03173008	TP9	NON	2016	2016
03173008	TP9	NON	2017	2017
03173008	TP9	NON	2018	2018
03173008	TP9	NON	2019	2019
03173008	TP9	NON	2020	2020
03173008	TP9	NON	2021	2021
03173008	TP9	NON	2022	2022
03173008	TP9	NON	2023	2023
03173008	TP9	NON	2024	2024
03174000	TG9	OUI	1995	1995
03174000	TG9	OUI	1996	1996
03174000	TG9	OUI	1997	1997
03174000	TG9	OUI	1998	1998
03174000	TG9	OUI	1999	1999
03174000	TG9	OUI	2000	2000
03174000	TG9	OUI	2001	2001
03174000	TG9	OUI	2002	2002
03174000	TG9	OUI	2003	2003
03174000	TG9	OUI	2004	2004
03174000	TG9	OUI	2005	2005
03174000	TG9	OUI	2006	2006
03174000	TG9	OUI	2007	2007
03174000	TG9	OUI	2008	2008
03174000	TG9	OUI	2009	2009
03174000	TG9	OUI	2010	2010
03174000	TG9	OUI	2011	2011
03174000	TG9	OUI	2012	2012
03174000	TG9	OUI	2013	2013
03174000	TG9	OUI	2014	2014
03174000	TG9	OUI	2015	2015
03174000	TG9	OUI	2016	2016
03174000	TG9	OUI	2017	2017
03174000	TG9	OUI	2018	2018
03174000	TG9	OUI	2019	2019
03174000	TG9	OUI	2020	2020
03174000	TG9	OUI	2021	2021
03174000	TG9	OUI	2022	2022
03174000	TG9	OUI	2023	2023
03174000	TG9	OUI	2024	2024
03174565	P9	NON	2012	2012
03174565	P9	NON	2013	2013
03174565	P9	NON	2014	2014
03174565	P9	NON	2015	2015
03174565	P9	NON	2016	2016
03174565	P9	NON	2017	2017
03174565	P9	NON	2018	2018
03174565	P9	NON	2019	2019
03174565	P9	NON	2020	2020
03174565	P9	NON	2021	2021
03174565	P9	NON	2022	2022
03174565	P9	NON	2023	2023
03174565	P9	NON	2024	2024
03174615	TP9	NON	2010	2010
03174615	TP9	NON	2011	2011
03174615	TP9	NON	2012	2012
03174615	TP9	NON	2013	2013
03174615	TP9	NON	2014	2014
03174615	TP9	NON	2015	2015
03174615	TP9	NON	2016	2016
03174615	TP9	NON	2017	2017
03174615	TP9	NON	2018	2018
03174615	TP9	NON	2019	2019
03174615	TP9	NON	2020	2020
03174615	TP9	NON	2021	2021
03174615	TP9	NON	2022	2022
03174615	TP9	NON	2023	2023
03174615	TP9	NON	2024	2024
03174678	TP9	NON	2013	2013
03174678	TP9	NON	2014	2014
03174695	TP9	NON	1995	1995
03174695	TP9	NON	1996	1996
03174695	TP9	NON	1997	1997
03174695	TP9	NON	1998	1998
03174695	TP9	NON	1999	1999
03174695	TP9	NON	2000	2000
03174695	TP9	NON	2001	2001
03174695	TP9	NON	2002	2002
03174695	TP9	NON	2003	2003
03174695	TP9	NON	2004	2004
03174695	TP9	NON	2005	2005
03174695	TP9	NON	2006	2006
03174695	TP9	NON	2007	2007
03174695	TP9	NON	2008	2008
03174695	TP9	NON	2009	2009
03174695	TP9	NON	2010	2010
03174695	TP9	NON	2011	2011
03174695	TP9	NON	2012	2012
03174695	TP9	NON	2013	2013
03174695	TP9	NON	2014	2014
03174695	TP9	NON	2015	2015
03174695	TP9	NON	2016	2016
03174695	TP9	NON	2017	2017
03174695	TP9	NON	2018	2018
03174695	TP9	NON	2019	2019
03174695	TP9	NON	2020	2020
03174695	TP9	NON	2021	2021
03174695	TP9	NON	2022	2022
03174695	TP9	NON	2023	2023
03174695	TP9	NON	2024	2024
03174695	TP9	NON	2025	2025
03174712	TP9	NON	2013	2013
03174712	TP9	NON	2014	2014
03174712	TP9	NON	2015	2015
03174712	TP9	NON	2016	2016
03174712	TP9	NON	2017	2017
03174712	TP9	NON	2018	2018
03174712	TP9	NON	2019	2019
03174715	P9	NON	1989	1989
03174715	P9	NON	1990	1990
03174715	P9	NON	1991	1991
03174715	P9	NON	1992	1992
03174715	P9	NON	1993	1993
03174715	P9	NON	1994	1994
03174715	P9	NON	1995	1995
03174715	P9	NON	1996	1996
03174715	P9	NON	1997	1997
03174715	P9	NON	1998	1998
03174715	P9	NON	1999	1999
03174715	P9	NON	2000	2000
03174715	P9	NON	2001	2001
03174715	P9	NON	2002	2002
03174715	P9	NON	2003	2003
03174715	P9	NON	2004	2004
03174715	P9	NON	2005	2005
03174715	P9	NON	2006	2006
03174715	P9	NON	2007	2007
03174715	P9	NON	2008	2008
03174715	P9	NON	2009	2009
03174715	P9	NON	2010	2010
03174715	P9	NON	2011	2011
03174715	P9	NON	2012	2012
03174715	P9	NON	2013	2013
03174715	P9	NON	2014	2014
03174715	P9	NON	2015	2015
03174715	P9	NON	2016	2016
03174715	P9	NON	2017	2017
03174715	P9	NON	2018	2018
03174715	P9	NON	2019	2019
03174748	TP9	NON	2013	2013
03174748	TP9	NON	2014	2014
03174748	TP9	NON	2015	2015
03174748	TP9	NON	2016	2016
03174748	TP9	NON	2017	2017
03174748	TP9	NON	2018	2018
03174748	TP9	NON	2019	2019
03174748	TP9	NON	2020	2020
03174748	TP9	NON	2021	2021
03174748	TP9	NON	2022	2022
03174748	TP9	NON	2023	2023
03174748	TP9	NON	2024	2024
03174795	TP9	NON	2013	2013
03174795	TP9	NON	2014	2014
03174795	TP9	NON	2015	2015
03174795	TP9	NON	2016	2016
03174795	TP9	NON	2017	2017
03174795	TP9	NON	2018	2018
03174795	TP9	NON	2019	2019
03174825	TP9	NON	2010	2010
03174825	TP9	NON	2011	2011
03174825	TP9	NON	2012	2012
03174825	TP9	NON	2013	2013
03174825	TP9	NON	2014	2014
03174825	TP9	NON	2015	2015
03174825	TP9	NON	2016	2016
03174825	TP9	NON	2017	2017
03174825	TP9	NON	2018	2018
03174825	TP9	NON	2019	2019
03174825	TP9	NON	2020	2020
03174825	TP9	NON	2021	2021
03174825	TP9	NON	2022	2022
03174825	TP9	NON	2023	2023
03174825	TP9	NON	2024	2024
03174837	P9	NON	2013	2013
03174837	P9	NON	2014	2014
03174875	TP9	NON	2013	2013
03174875	TP9	NON	2014	2014
03174875	TP9	NON	2015	2015
03174875	TP9	NON	2016	2016
03174875	TP9	NON	2017	2017
03174875	TP9	NON	2018	2018
03174875	TP9	NON	2019	2019
03175000	P9-A	NON	2008	2008
03175000	P9-A	NON	2009	2009
03175000	P9-A	NON	2010	2010
03175000	P9-A	NON	2011	2011
03175000	P9-A	NON	2012	2012
03175000	P9-A	NON	2013	2013
03175000	P9-A	NON	2014	2014
03175000	P9-A	NON	2015	2015
03175000	P9-A	NON	2016	2016
03175000	P9-A	NON	2017	2017
03175000	P9-A	NON	2018	2018
03175000	P9-A	NON	2019	2019
03175000	P9-A	NON	2020	2020
03175000	P9-A	NON	2021	2021
03175000	P9-A	NON	2022	2022
03175000	P9-A	NON	2023	2023
03175000	P9-A	NON	2024	2024
03176473	P9	NON	2013	2013
03176473	P9	NON	2014	2014
03176473	P9	NON	2015	2015
03176473	P9	NON	2016	2016
03176473	P9	NON	2017	2017
03176540	P9	NON	2017	2017
03176690	TP9	NON	2017	2017
03176825	P9-A	NON	2013	2013
03176825	P9-A	NON	2014	2014
03176825	P9-A	NON	2015	2015
03176825	P9-A	NON	2016	2016
03176825	P9-A	NON	2017	2017
03176825	P9-A	NON	2018	2018
03176825	P9-A	NON	2019	2019
03176850	P9-A	NON	2013	2013
03176850	P9-A	NON	2014	2014
03176880	P9-A	NON	2010	2010
03176880	P9-A	NON	2011	2011
03176880	P9-A	NON	2012	2012
03176880	P9-A	NON	2013	2013
03176880	P9-A	NON	2014	2014
03176880	P9-A	NON	2015	2015
03176880	P9-A	NON	2016	2016
03176880	P9-A	NON	2017	2017
03176880	P9-A	NON	2018	2018
03176880	P9-A	NON	2019	2019
03176945	P9-A	NON	2008	2008
03176945	P9-A	NON	2009	2009
03176945	P9-A	NON	2010	2010
03176945	P9-A	NON	2011	2011
03176945	P9-A	NON	2012	2012
03176945	P9-A	NON	2013	2013
03176945	P9-A	NON	2014	2014
03176945	P9-A	NON	2015	2015
03176945	P9-A	NON	2016	2016
03176945	P9-A	NON	2017	2017
03176945	P9-A	NON	2018	2018
03176945	P9-A	NON	2019	2019
03176945	P9-A	NON	2020	2020
03176945	P9-A	NON	2021	2021
03176945	P9-A	NON	2022	2022
03176945	P9-A	NON	2023	2023
03176945	P9-A	NON	2024	2024
03178000	M9-A	NON	1986	1986
