new_name;old_name
A_MESO;A_meso
A_MESO_POLY;A_meso_poly
ACHDq;ACHDq
ACHDs;ACHDs
ACHNq;ACHNq
ACHNs;ACHNs
ACID_INDIF;acid_indif
ACIDOBI;acidobi
ACIDOPH;acidoph
ACTCq;ACTCq
ACTCs;ACTCs
ACTDq;ACTDq
ACTDs;ACTDs
ACTNq;ACTNq
ACTNs;ACTNs
ADLFq;ADLFq
ADLFs;ADLFs
ABREL_ADMI;ADMI.y
ALCALIB;alcalib
ALCALIPH;alcaliph
AMILq;AMILq
AMILs;AMILs
AMPHq;AMPHq
AMPHs;AMPHs
AMPIq;AMPIq
AMPIs;AMPIs
ANEUq;ANEUq
ANEUs;ANEUs
ANOMq;ANOMq
ANOMs;ANOMs
APRTq;APRTq
APRTs;APRTs
ARq;ARq
ARs;ARs
ASTEq;ASTEq
ASTEs;ASTEs
ASTTq;ASTTq
ASTTs;ASTTs
ATTACH_VU;attach_vu
AULAq;AULAq
AULAs;AULAs
IBD;b_ibd
B_MESO;B_meso
BACIq;BACIq
BACIs;BACIs
BENTHIC;benthic
BERKq;BERKq
BERKs;BERKs
BRACq;BRACq
BRACs;BRACs
BREBq;BREBq
BREBs;BREBs
BRq;BRq
BRs;BRs
C1;C1
C2;C2
C3;C3
C4;C4
C5;C5
C6;C6
C7;C7
CALOq;CALOq
CALOs;CALOs
CAPAq;CAPAq
CAPAs;CAPAs
CAPPq;CAPPq
CAPPs;CAPPs
CATNq;CATNq
CATNs;CATNs
CAVIq;CAVIq
CAVIs;CAVIs
CBPLq;CBPLq
CBPLs;CBPLs
CCSTq;CCSTq
CCSTs;CCSTs
CENTRIQUES;centriques
CEq;CEq
CEs;CEs
CHAEq;CHAEq
CHAEs;CHAEs
CHAMq;CHAMq
CHAMs;CHAMs
COCBq;COCBq
COCBs;COCBs
COCOq;COCOq
COCOs;COCOs
COL_ARBUSCULE;col_arbuscule
COL_ETOILE;col_etoile
COL_MUC;col_muc
COL_RUBAN;col_ruban
COL_ZIGZAG;col_zigzag
COLLq;COLLq
COLLs;COLLs
COSCq;COSCq
COSCs;COSCs
COSMq;COSMq
COSMs;COSMs
CPLDq;CPLDq
CPLDs;CPLDs
CPLSq;CPLSq
CPLSs;CPLSs
CRATq;CRATq
CRATs;CRATs
CTNPq;CTNPq
CTNPs;CTNPs
CYCLq;CYCLq
CYCLs;CYCLs
CYMAq;CYMAq
CYMAs;CYMAs
CYMBq;CYMBq
CYMBs;CYMBs
CYMTq;CYMTq
CYMTs;CYMTs
DELPq;DELPq
DELPs;DELPs
DENTq;DENTq
DENTs;DENTs
DESCY;descy
DIAMq;DIAMq
DIAMs;DIAMs
DIATq;DIATq
DIATs;DIATs
DIDYq;DIDYq
DIDYs;DIDYs
DIPLq;DIPLq
DIPLs;DIPLs
DISCq;DISCq
DISCs;DISCs
DLCAq;DLCAq
DLCAs;DLCAs
DOUCE;douce
DOUCE_SAUM;douce_saum
DTRNq;DTRNq
DTRNs;DTRNs
ELLEq;ELLEq
ELLEs;ELLEs
ENCPq;ENCPq
ENCPs;ENCPs
ENCYq;ENCYq
ENCYs;ENCYs
ENTOq;ENTOq
ENTOs;ENTOs
EOLIq;EOLIq
EOLIs;EOLIs
EPITq;EPITq
EPITs;EPITs
EPq;EPq
EPs;EPs
EUCOq;EUCOq
EUCOs;EUCOs
EUNOq;EUNOq
EUNOs;EUNOs
EUTOq;EUTOq
EUTOs;EUTOs
EUTROPHE;eutrophe
FALLq;FALLq
FALLs;FALLs
FITUq;FITUq
FITUs;FITUs
FRAFq;FRAFq
FRAFs;FRAFs
FRAGq;FRAGq
FRAGs;FRAGs
FRANq;FRANq
FRANs;FRANs
FRUSq;FRUSq
FRUSs;FRUSs
GCYPq;GCYPq
GCYPs;GCYPs
GEISq;GEISq
GEISs;GEISs
GENKq;GENKq
GENKs;GENKs
GERMq;GERMq
GERMs;GERMs
GF1;gf1
GF2;gf2
GF3;gf3
GF4;gf4
GNEIq;GNEIq
GNEIs;GNEIs
GOMPq;GOMPq
GOMPs;GOMPs
GOPPq;GOPPq
GOPPs;GOPPs
GPMOq;GPMOq
GPMOs;GPMOs
GRAMq;GRAMq
GRAMs;GRAMs
GUILDE_E;guilde_e
GUILDE_H;guilde_h
GUILDE_L;guilde_l
GUILDE_M;guilde_m
GYROq;GYROq
GYROs;GYROs
HALAq;HALAq
HALAs;HALAs
HANDq;HANDq
HANDs;HANDs
HANNq;HANNq
HANNs;HANNs
HANTq;HANTq
HANTs;HANTs
HASLq;HASLq
HASLs;HASLs
HIPOq;HIPOq
HIPOs;HIPOs
HYDRq;HYDRq
HYDRs;HYDRs
HYPEREUTRO;hypereutro
IPS;ips
JAMAIS_ATTACH;jamais_attach
KARAq;KARAq
KARAs;KARAs
KELLY;kelly
KOBLq;KOBLq
KOBLs;KOBLs
KOLBq;KOLBq
KOLBs;KOLBs
LEMNq;LEMNq
LEMNs;LEMNs
LUTIq;LUTIq
LUTIs;LUTIs
MASTq;MASTq
MASTs;MASTs
MAYAq;MAYAq
MAYAs;MAYAs
MCCTq;MCCTq
MCCTs;MCCTs
MELOq;MELOq
MELOs;MELOs
MERIq;MERIq
MERIs;MERIs
MESO;meso
MESO_EUTRO;meso_eutro
MOB;mob
MOD_SAUM;mod_saum
MOq;MOq
MOs;MOs
MUELq;MUELq
MUELs;MUELs
N_AUTO1;N_auto1
N_AUTO2;N_auto2
N_HETERO1;N_hetero1
N_HETERO2;N_hetero2
NADIq;NADIq
NADIs;NADIs
NAVGq;NAVGq
NAVGs;NAVGs
NAVIq;NAVIq
NAVIs;NAVIs
NAVq;NAVq
NAVs;NAVs
NDMPq;NDMPq
