"AFNOR";"Val.Ind.";"CL1";"CL2";"CL3";"CL4";"CL5";"CL6";"CL7"
"AACU";1,161394246;0;0,6446;0,17182;0,16854;0,01504;0;0
"AAFF";0,946809598;0;3e-05;0,00943;0,06283;0,2362;0,4588;0,23271
"AAHE";0,945001197;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589
"AALA";0,901687493;0,13583;0,37705;0,34229;0,14483;0;0;0
"AALG";1,182759238;0;0;0;0,01588;0,55939;0,42162;0,00311
"AAMB";0,983506197;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058
"AAMO";1,279183781;0;0;0,08847;0,74346;0,10848;0,01718;0,04241
"AAMP";0,906358419;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641
"AANA";1,166784123;0;0;7e-05;0,00051;0,02374;0,46101;0,51467
"AAND";0,803495135;0,23732;0,32221;0,26065;0,14338;0,02984;0,00659;2e-05
"AATG";1,182759238;0;0;0;0,01588;0,55939;0,42162;0,00311
"AATO";1,318905285;0,00175;1e-04;0,00326;0,01179;0,05056;0,1714;0,76114
"AAUS";1,111991361;0;0;0;0,00523;0,09293;0,55106;0,35078
"AAVE";0,945001197;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589
"ABIA";1,577770258;5e-05;0,00013;0,00021;0,00183;0,00608;0,04976;0,94194
"ABIO";1,067874618;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332
"ABIP";1,030376401;0;0;0;0,45728;0,37364;0,16909;0
"ABIT";1,435805882;0,84623;0,11048;0,02177;0,01822;0,00319;1e-04;1e-05
"ABOY";0,836563684;0,00391;0,03418;0,11119;0,20825;0,38276;0,24807;0,01165
"ABPA";1,076796228;0;0,45753;0,43844;0,08787;0,01616;0;0
"ABRT";1,067874618;0;0,00049;0,00625;0,03205;0,09728;0,53062;0,33332
"ABRY";1,591224591;6e-04;0;0,00011;0,00051;0,00788;0,03993;0,95097
"ABSB";1,279183781;0;0;0,08847;0,74346;0,10848;0,01718;0,04241
"ABSU";1,082277769;2e-05;0,00023;0,00208;0,02422;0,08212;0,37888;0,51245
"ACAC";1,161394246;0;0,6446;0,17182;0,16854;0,01504;0;0
"ACAF";0,946809598;0;3e-05;0,00943;0,06283;0,2362;0,4588;0,23271
"ACBI";1,030376401;0;0;0;0,45728;0,37364;0,16909;0
"ACBP";1,030376401;0;0;0;0,45728;0,37364;0,16909;0
"ACBR";1,095668465;0,00095;0,0085;0,03608;0,18834;0,59907;0,16587;0,00119
"ACCL";1,164317519;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054
"ACCR";1,4648647;0;0;0;0,08871;0,86633;0,04496;0
"ACDE";0,898903576;0,00064;0,1203;0,3317;0,38469;0,15723;0,00545;0
"ACEC";0,936181859;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388
"ACEN";1,450010025;0;0;0,00747;0,85336;0,12602;0,0127;0,00045
"ACGT";1,435805882;0,84623;0,11048;0,02177;0,01822;0,00319;1e-04;1e-05
"ACHA";1,207905611;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015
"ACHL";0,997215738;0;0;0,00919;0,01578;0,16575;0,41596;0,39332
"ACHT";1,435805882;0,84623;0,11048;0,02177;0,01822;0,00319;1e-04;1e-05
"ACLD";1,210183369;0;0;0;0,01662;0,1164;0,18437;0,68261
"ACLE";1,164317519;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054
"ACLI";1,66406364;0;0;0;0;0;0,00154;0,99846
"ACMG";1,182759238;0;0;0;0,01588;0,55939;0,42162;0,00311
"ACNP";0,839413572;0;0;0,05823;0,15293;0,21421;0,40715;0,16749
"ACOF";1,250648739;0,04121;0,69036;0,26548;0,0016;0,0012;0;0,00015
"ACON";1,095668465;0,00095;0,0085;0,03608;0,18834;0,59907;0,16587;0,00119
"ACOP";1,093516944;0,00078;0,00441;0,03557;0,2491;0,58591;0,12264;0,00159
"ACPG";0,938891784;0;0;0,01642;0,1248;0,32972;0,43083;0,09823
"ACPO";1,369648309;0;0;0;0,1031;0,09628;0,80062;0
"ACRA";1,302067159;0;0;0;0,00122;0,71935;0,27942;0
"ACRB";0,949753124;0;0;0;0,01673;0,36739;0,33355;0,28233
"ACRM";1,250648739;0,04121;0,69036;0,26548;0,0016;0,0012;0;0,00015
"ACRO";1,4648647;0;0;0;0,08871;0,86633;0,04496;0
"ACRT";1,435805882;0,84623;0,11048;0,02177;0,01822;0,00319;1e-04;1e-05
"ACSD";1,564056833;0;0;0;0,00365;0,06398;0,93236;0
"ACTT";0,939787032;0;0;0,00321;0,03174;0,2943;0,39768;0,27307
