"CODE_TAXON";"IPS_S";"IPS_V";"DESCY_S";"DESCY_V";"SLADECEK_S";"SLADECEK_V";"ROTT_SAPRO_S";"ROTT_SAPRO_V";"KELLY_S";"KELLY_V";"WATA_SAPRO"
"AACU";2;3;0;0;0;0;0;0;5;1;0
"AAFF";5;1;4;1;0;0;1,3;3;2;2;0
"AAHE";5;2;0;0;0;0;1;5;3;1;0
"AALA";2;3;0;0;0;0;0;0;0;0;0
"AALG";5;1;0;0;0;0;1;5;2;2;0
"AAMB";4;1;0;0;1,5;3;0;0;0;0;1
"AAMO";4;1;0;0;0;0;0;0;3;1;0
"AAMP";5;1;4;1;0,4;3;0;0;0;0;2
"AANA";5;1;0;0;0;0;0;0;2;2;0
"AAND";2;3;0;0;2,5;3;0;0;3;1;0
"AATG";5;1;0;0;0;0;1;5;2;2;0
"AATO";5;2;0;0;0;0;0;0;0;0;2
"AAUS";5;3;5;3;0;0;0;0;3;1;0
"AAVE";5;2;0;0;0;0;0;0;3;1;0
"ABIA";5;1;4;1;0,4;3;1,4;3;2;2;2
"ABIO";5;1;0;0;0;0;1,2;4;2;1;0
"ABIP";4,6;1;0;0;0;0;0;0;0;0;0
"ABIT";1;3;4;1;0,4;3;0;0;0;0;2
"ABOY";4,6;1;3;1;0,9;1;0;0;4;1;0
"ABPA";2,7;2;0;0;0;0;0;0;3;1;0
"ABRT";5;1;0;0;0;0;1,2;4;2;1;0
"ABRY";5;2;0;0;0;0;1,1;4;3;1;0
"ABSB";4;1;0;0;0;0;0;0;3;1;0
"ABSU";5;1;0;0;0,4;3;0;0;2;2;2
"ACAC";2;3;0;0;0;0;0;0;5;1;0
"ACAF";5;1;4;1;1;2;1,3;3;2;2;0
"ACBI";4,4;1;0;0;0;0;0;0;5;1;0
"ACBP";4,6;1;0;0;0;0;0;0;0;0;0
"ACBR";4;1;5;3;0;0;0;0;4;2;2
"ACCL";4;2;0;0;1,5;3;1,6;3;4;2;0
"ACCR";4;2;0;0;0;0;0;0;4;2;2
"ACDE";3;3;0;0;0;0;0;0;5;2;0
"ACEC";4;1;0;0;1,5;3;0;0;0;0;1
"ACEN";2,9;2;0;0;0;0;2;3;5;2;0
"ACGT";1;3;0;0;0;0;0;0;0;0;2
"ACHA";2,8;2;0;0;0;0;0;0;5;2;0
"ACHL";5;1;0;0;0;0;0;0;2;1;0
"ACHT";1;3;0;0;0;0;0;0;0;0;0
"ACLD";5;1;0;0;0;0;1;5;2;2;0
"ACLE";4;2;0;0;1,5;3;1,6;3;4;2;2
"ACLI";5;2;5;3;0,4;3;0;0;0;0;2
"ACMG";5;1;0;0;0;0;0;0;2;2;0
"ACNP";5;3;0;0;0;0;1;5;2;2;0
"ACOF";2;3;0;0;0;0;0;0;5;1;0
"ACON";4;1;5;3;0;0;1,5;2;4;2;2
"ACOP";4;2;0;0;0;0;1,6;2;4;1;0
"ACPG";5;1;0;0;0;0;0;0;5;2;0
"ACPO";4,8;3;0;0;0;0;0;0;0;0;0
"ACRA";4,6;2;0;0;0;0;0;0;0;0;2
"ACRB";4,6;1;0;0;0;0;0;0;0;0;0
"ACRM";2;3;0;0;0;0;0;0;5;1;0
"ACRO";4;2;0;0;1,5;3;0;0;4;2;2
"ACRT";1;3;0;0;0;0;0;0;0;0;0
"ACSD";5;1;0;0;0;0;0;0;3;1;0
"ACTT";4,5;2;0;0;0;0;0;0;2;2;0
"ACUN";2,8;3;0;0;0;0;0;0;0;0;0
"ACUT";1;3;0;0;0;0;0;0;0;0;0
"ACVT";1;3;0;0;0;0;0;0;0;0;2
"ADAF";4;2;0;0;0;0;0;0;0;0;0
"ADAO";4,5;1;0;0;0;0;1,1;4;2;1;0
"ADAT";5;2;0;0;0;0;0;0;0;0;2
"ADAU";4,8;2;0;0;0;0;0;0;2;2;0
"ADBI";5;1;4;1;0,4;3;1,4;3;2;2;2
"ADBO";5;1;0;0;0;0;0;0;2;1;0
"ADBS";5;1;0;0;0,4;3;0;0;2;2;2
"ADBT";1;3;4;1;0,4;3;0;0;0;0;2
"ADCA";5;1;0;0;0;0;1;5;2;2;0
"ADCH";5;1;0;0;0;0;0;0;2;1;0
"ADCR";4,6;2;0;0;0;0;0;0;0;0;2
"ADCT";4,5;2;0;0;0;0;0;0;2;2;0
"ADDA";4,5;1;0;0;0;0;1,1;4;2;1;0
"ADEG";3;2;0;0;1,5;3;0;0;4;2;1
"ADEH";4;1;0;0;1,5;3;0;0;4;2;1
"ADEL";3;3;0;0;0;0;2,6;3;5;2;2
"ADEN";2,9;2;0;0;0;0;2;3;5;2;2
"ADET";5;1;0;0;0;0;1,1;4;2;2;0
"ADEU";3;1;0;0;0;0;0;0;0;0;0
"ADEX";5;2;0;0;0;0;0;0;2;2;0
"ADFS";5;1;0;0;0;0;0;0;4;1;0
"ADGI";4;1;0;0;0;0;0;0;5;1;0
"ADGL";5;1;0;0;0;0;1;5;2;2;0
"ADHA";2,8;2;0;0;0;0;0;0;5;2;0
"ADHE";5;2;0;0;0;0;1;5;3;1;0
"ADJK";5;2;0;0;0;0;0;0;2;2;2
"ADKP";3;2;0;0;0;0;0;0;3;1;0
"ADKR";4,5;1;0;0;0;0;0;0;2;2;0
"ADLA";2,6;1;0;0;0;0;0;0;0;0;0
"ADLB";4,8;3;0;0;0;0;1,9;4;5;2;0
"ADLI";4;1;0;0;0;0;0;0;0;0;0
"ADLO";5;1;5;3;0,4;3;0;0;2;2;2
"ADLP";5;3;0;0;0;0;0;0;4;1;2
"ADLS";5;1;0;0;0;0;1;5;4;1;0
"ADLT";1;3;0;0;0;0;0;0;0;0;0
"ADMA";5;2;0;0;0;0;0;0;2;2;0
"ADMF";5;1;4;1;1;2;1,3;3;2;2;0
"ADMI";5;1;4;1;1;2;1,7;1;2;2;2
"ADMM";2;1;0;0;3,2;3;3,1;3;5;1;0
"ADMS";3;1;3;2;1;3;0;0;5;1;0
"ADMT";1;3;4;1;1;1;0;0;0;0;0
"ADPT";1;3;4;1;0,4;3;0;0;0;0;2
"ADPY";5;1;4;1;0,4;3;0;0;4;2;2
"ADRI";4;1;0;0;0;0;0;0;0;0;0
"ADRK";4;1;0;0;0;0;0;0;5;2;0
"ADRT";1;3;0;0;0;0;0;0;0;0;0
"ADSA";3;1;0;0;0;0;3,1;3;2;2;1
"ADSB";3;2;0;0;0;0;0;0;1;0;0
"ADSG";1;3;0;0;0;0;0;0;0;0;1
"ADSH";5;2;0;0;0;0;0;0;0;0;2
"ADSO";5;1;0;0;0;0;1,1;4;5;2;0
