;< 0.5 cm;> 0.5-1 cm;> 1-2 cm;> 2-4 cm;> 4 cm;< 1 year;> 1 year;< 1;1;> 1;egg;larva;nymph;adult;ovoviviparity;isolated eggs, free;isolated eggs, cemented;clutches, cemented or fixed;clutches, free;clutches, terrestrial/in vegetation;asexual reproduction;aquatic passive;aquatic active;aerial passive;aerial active;eggs, statoblasts;cocoons, housings;diapause or dormancy;none;tegument;gill;plastron, spiracle;flier;swimmer;crawler;burrower;interstitial;attached;microorganisms, detritus (< 1mm);dead plant (>= 1mm);living microphytes;living macrophytes;dead animal (>= 1mm);living microinvertebrates;large animals;absorber, deposit feeder;shredder;scraper;filter-feeder;piercer;predator;parasite;river channel;banks, connected side-arms;ponds, pools, disconnected side-arms;marshes, peat bogs;temporary waters;lakes;crenon;epirithron;metarithron;hyporithron;epipotamon;metapotamon;estuary;outside river system;lowlands;piedmont level;alpine level;flags/boulders/cobbles/pebbles;gravel;sand;silt;macrophytes;microphytes;twigs/roots;organic detritus/litter;mud;null;slow (< 25 cm/s);medium (25-50 cm</s);fast (> 50 cm/s);oligotrophic;mesotrophic;eutrophic;freshwater;brackish water;cold (< 15°C);warm (> 15°C);eurythermic;xenosaprobic;oligosaprobic;b-mesosaprobic;a-mesosaprobic;polysaprobic;< 4;> 4-4.5;> 4.5-5;> 5-5.5;> 5.5-6;> 6;;;;;
CODE_TAXON;TAILLE_1;TAILLE_2;TAILLE_3;TAILLE_4;TAILLE_5;LONGEVITE_1;LONGEVITE_2;VOLTINISME_1;VOLTINISME_2;VOLTINISME_3;STADE_AQUATIQUE_1;STADE_AQUATIQUE_2;STADE_AQUATIQUE_3;STADE_AQUATIQUE_4;REPRODUCTION_1;REPRODUCTION_2;REPRODUCTION_3;REPRODUCTION_4;REPRODUCTION_5;REPRODUCTION_6;REPRODUCTION_7;DISPERSION_1;DISPERSION_2;DISPERSION_3;DISPERSION_4;RESISTANCE_1;RESISTANCE_2;RESISTANCE_3;RESISTANCE_4;RESPIRATION_1;RESPIRATION_2;RESPIRATION_3;LOCOMOTION_1;LOCOMOTION_2;LOCOMOTION_3;LOCOMOTION_4;LOCOMOTION_5;LOCOMOTION_6;NOURRITURE_1;NOURRITURE_2;NOURRITURE_3;NOURRITURE_4;NOURRITURE_5;NOURRITURE_6;NOURRITURE_7;ALIMENTATION_1;ALIMENTATION_2;ALIMENTATION_3;ALIMENTATION_4;ALIMENTATION_5;ALIMENTATION_6;ALIMENTATION_7;TRANSVERSAL_1;TRANSVERSAL_2;TRANSVERSAL_3;TRANSVERSAL_4;TRANSVERSAL_5;TRANSVERSAL_6;LONGITUDINAL_1;LONGITUDINAL_2;LONGITUDINAL_3;LONGITUDINAL_4;LONGITUDINAL_5;LONGITUDINAL_6;LONGITUDINAL_7;LONGITUDINAL_8;ALTITUDE_1;ALTITUDE_2;ALTITUDE_3;SUBSTRAT_1;SUBSTRAT_2;SUBSTRAT_3;SUBSTRAT_4;SUBSTRAT_5;SUBSTRAT_6;SUBSTRAT_7;SUBSTRAT_8;SUBSTRAT_9;COURANT_1;COURANT_2;COURANT_3;COURANT_4;TROPHIE_1;TROPHIE_2;TROPHIE_3;SALINITE_1;SALINITE_2;TEMPERATURE_1;TEMPERATURE_2;TEMPERATURE_3;SAPROBIE_1;SAPROBIE_2;SAPROBIE_3;SAPROBIE_4;SAPROBIE_5;PH_1;PH_2;PH_3;PH_4;PH_5;PH_6;GROUPE_BIO;GROUPE_ECO;GROUPE_BIOECO;SPEAR_SENSIBILITE;SPEAR_CLASSE
1090;0;0;0.041666667;0.5;0.458333333;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0;0;0;0.5;1;0;0;0;1;0;0;0;1;0;0;0;0.25;0;0;0;0.75;0.5;0;0.25;0;0;0.25;0;0;0;0;1;0;0;0;0.125;0.375;0.125;0;0;0.375;0.0625;0;0;0.041666667;0.041666667;0.041666667;0;0.8125;0.9375;0.0625;0;0.391666667;0.05;0;0;0.233333333;0;0.3;0;0.025;0.5;0.333333333;0.166666667;0;0.625;0.291666667;0.083333333;0.8125;0.1875;0;0.3125;0.6875;0;0;0.9375;0.0625;0;0;0.027777778;0.027777778;0.180555556;0.343055556;0.420833333;NA;NA;NA;NA;NA
3106;0;0;0;0.5;0.5;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0;0;0;0.5;1;0;0;0;1;0;0;0;1;0;0;0;0.25;0;0;0;0.75;0.5;0;0.25;0;0;0.25;0;0;0;0;1;0;0;0;0.125;0.375;0.125;0;0;0.375;0;0;0;0.166666667;0.166666667;0.166666667;0;0.5;0.75;0.25;0;0.4;0.2;0;0;0.1;0;0.2;0;0.1;0.5;0.333333333;0.166666667;0;0.333333333;0.666666667;0;0.75;0.25;0;0.25;0.75;0;0;1;0;0;0;0.111111111;0.111111111;0.222222222;0.222222222;0.333333333;a;NA;z;NA;NA
3107;0;0;0;0.5;0.5;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0;0;0;0.5;1;0;0;0;1;0;0;0;1;0;0;0;0.25;0;0;0;0.75;0.5;0;0.25;0;0;0.25;0;0;0;0;1;0;0;0;0.125;0.375;0.125;0;0;0.375;0;0;0;0.166666667;0.166666667;0.166666667;0;0.5;0.75;0.25;0;0.4;0.2;0;0;0.1;0;0.2;0;0.1;0.5;0.333333333;0.166666667;0;0.333333333;0.666666667;0;0.75;0.25;0;0.25;0.75;0;0;1;0;0;0;0.111111111;0.111111111;0.222222222;0.222222222;0.333333333;a;E;z;NA;NA
3108;0;0;0;0.5;0.5;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0;0;0;0.5;1;0;0;0;1;0;0;0;1;0;0;0;0.25;0;0;0;0.75;0.5;0;0.25;0;0;0.25;0;0;0;0;1;0;0;0;0.125;0.375;0.125;0;0;0.375;0;0;0;0.166666667;0.166666667;0.166666667;0;0.5;0.75;0.25;0;0.4;0.2;0;0;0.1;0;0.2;0;0.1;0.5;0.333333333;0.166666667;0;0.333333333;0.666666667;0;0.75;0.25;0;0.25;0.75;0;0;1;0;0;0;0.111111111;0.111111111;0.222222222;0.222222222;0.333333333;a;E;z;NA;NA
3109;0;0;0.166666667;0.5;0.333333334;1;0;0;1;0;0.333333333;0.333333333;0;0.333333333;0.5;0;0;0;0;0;0.5;1;0;0;0;1;0;0;0;1;0;0;0;0.25;0;0;0;0.75;0.5;0;0.25;0;0;0.25;0;0;0;0;1;0;0;0;0.125;0.375;0.125;0;0;0.375;0.25;0;0;0;0;0;0;0.75;1;0;0;0.166666667;0;0;0;0.5;0;0.333333333;0;0;0.5;0.333333333;0.166666667;0;0.166666667;0.5;0.333333333;0.5;0.5;0;0.5;0.5;0;0;0.75;0.25;0;0;0;0;0;0.4;0.6;a;F;z;NA;NA
3168;0;0.463064319;0.308709546;0.209758295;0.018467841;0.106860093;0.893139907;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0.103184653;0;0.034394884;0.862420463;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0.471777022;0;0.528222978;0;0.012622713;0.459872204;0.31650305;0;0;0.211002033;0;0;0.182528994;0.182528994;0.182528994;0.226206508;0.043677514;0.182528994;1;0;0;0.278131112;0;0;0;0.443737776;0;0.278131112;0;0;0.096543451;0.903456549;0;0;0.893139907;0.106860093;0;0.704465173;0.295534827;0;0.5;0.5;0;0.893139907;0.106860093;0;0;0;0;0;0;0;1;b;NA;NA;NA;NA
1075;0;0.463064319;0.308709546;0.209758295;0.018467841;0.106860093;0.893139907;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0.103184653;0;0.034394884;0.862420463;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0.471777022;0;0.528222978;0;0.012622713;0.459872204;0.31650305;0;0;0.211002033;0;0;0.182528994;0.182528994;0.182528994;0.226206508;0.043677514;0.182528994;1;0;0;0.278131112;0;0;0;0.443737776;0;0.278131112;0;0;0.096543451;0.903456549;0;0;0.893139907;0.106860093;0;0.704465173;0.295534827;0;0.5;0.5;0;0.893139907;0.106860093;0;0;0;0;0;0;0;1;b;NA;NA;NA;NA
1076;0;0.5;0.333333333;0.166666667;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0;0;0;1;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0.25;0;0.75;0;0;0.444444444;0.333333333;0;0;0.222222222;0;0;0.2;0.2;0.2;0.2;0;0.2;1;0;0;0.272727273;0;0;0;0.454545455;0;0.272727273;0;0;0;1;0;0;1;0;0;0.75;0.25;0;0.5;0.5;0;1;0;0;0;0;0;0;0;0;1;b;C;g;NA;NA
1077;0;0.5;0.333333333;0.166666667;0;0;1;0;1;0;0.333333333;0.333333333;0;0.333333333;0;0;0;0.4;0;0;0.6;0.75;0.25;0;0;0;0;0;1;1;0;0;0;0.25;0;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0.25;0;0.75;0;0;0.444444444;0.333333333;0;0;0.222222222;0;0;0.2;0.2;0.2;0.2;0;0.2;1;0;0;0.272727273;0;0;0;0.454545455;0;0.272727273;0;0;0;1;0;0;1;0;0;0.75;0.25;0;0.5;0.5;0;1;0;0;0;0;0;0;0;0;1;b;C;g;NA;NA
