ODInvertebres;v1.0.2;2026-03-13;Temps d'execution :;3.78mins
CODE_STATION;DATE;CODE_OPERATION;MATIERES_ORGANIQUES;MATIERES_PHOSPHOREES;MATIERES_AZOTEES;NITRATES;HAP;PESTICIDES;RIPISYLVE;VOIES_COMMUNICATION;URBANISATION_100M;RISQUE_COLMATAGE;INSTABILITE_HYDROLOGIQUE;ANTHROPISATION_BV
03172150;18/08/2014;031721502014081813;0.3778;0.484;0.5283;0.5181;0.7048;0.7531;0.5293;0.5272;0.6821;0.5435;0.6905;0.7516
03172150;06/07/2015;031721502015070613;0.365;0.3742;0.5045;0.5186;0.6832;0.6784;0.5018;0.4814;0.6736;0.5449;0.7013;0.6593
03172150;17/06/2020;031721502020061713;0.3046;0.3377;0.5082;0.5386;0.65;0.7124;0.5311;0.5472;0.707;0.5418;0.6758;0.7777
03172380;12/09/2017;031723802017091213;0.268;0.2235;0.1491;0.4687;0.6878;0.5199;0.4025;0.2947;0.5454;0.5487;0.724;0.7138
03172380;17/06/2020;031723802020061713;0.3758;0.5047;0.5244;0.6504;0.8326;0.787;0.5383;0.5036;0.7162;0.5566;0.7347;0.8543
03172385;04/09/2012;031723852012090413;0.3594;0.5087;0.5139;0.6218;0.8161;0.7372;0.6162;0.333;0.6549;0.5986;0.6583;0.8858
03172385;05/08/2013;031723852013080513;0.2525;0.4709;0.5271;0.5651;0.8322;0.8125;0.6115;0.4595;0.6631;0.52;0.6988;0.8823
03172392;28/07/2014;031723922014072813;0.5618;0.5872;0.5793;0.6517;0.7682;0.7663;0.5546;0.4929;0.6796;0.5791;0.6658;0.8658
03172392;06/07/2015;031723922015070613;0.5321;0.5634;0.6094;0.509;0.6955;0.7433;0.5559;0.6141;0.6773;0.4835;0.7266;0.7609
03172392;17/06/2020;031723922020061713;0.5398;0.5364;0.5484;0.6003;0.7169;0.7127;0.5202;0.4977;0.6415;0.571;0.7108;0.699
03173000;30/06/2010;031730002010063013;0.5426;0.565;0.3904;0.5531;0.458;0.8554;0.6669;0.6737;0.6508;0.431;0.6611;0.9271
03173000;10/08/2011;031730002011081013;0.5212;0.5532;0.3283;0.5953;0.4837;0.8574;0.7036;0.6082;0.6184;0.4715;0.5816;0.9371
03173000;08/08/2012;031730002012080813;0.562;0.6459;0.5444;0.5251;0.4969;0.7794;0.7086;0.7803;0.6699;0.3846;0.7462;0.8365
03173000;03/10/2013;031730002013100313;0.5256;0.6092;0.5016;0.5329;0.5155;0.8745;0.6836;0.6977;0.6599;0.4337;0.6591;0.8596
03173000;02/10/2014;031730002014100213;0.5308;0.5468;0.3192;0.5273;0.462;0.8666;0.6734;0.6852;0.5729;0.4083;0.5945;0.9318
03173000;03/09/2015;031730002015090313;0.5383;0.6296;0.5141;0.5441;0.5264;0.7937;0.6096;0.848;0.6865;0.3653;0.731;0.8064
03173000;21/09/2016;031730002016092113;0.5335;0.6223;0.3974;0.5485;0.5087;0.8239;0.5876;0.8254;0.6589;0.3959;0.7011;0.8346
03173000;25/09/2017;031730002017092513;0.5436;0.637;0.3738;0.5558;0.4533;0.737;0.6055;0.8157;0.6653;0.377;0.7057;0.7815
03173000;31/07/2019;031730002019073113;0.5342;0.6141;0.4073;0.5451;0.5087;0.7812;0.5816;0.8428;0.658;0.375;0.71;0.7405
03173000;02/09/2021;031730002021090213;0.5411;0.6428;0.3401;0.5633;0.5058;0.6862;0.5189;0.8644;0.6539;0.3947;0.687;0.6791
03173000;10/09/2024;031730002024091013;0.5747;0.6344;0.4543;0.5513;0.4533;0.7246;0.5813;0.7766;0.6131;0.419;0.7714;0.7926
03173008;28/07/2014;031730082014072813;0.5979;0.6873;0.6806;0.7379;0.7517;0.8065;0.6256;0.5054;0.7943;0.6109;0.6439;0.9249
03173008;07/07/2015;031730082015070713;0.528;0.6388;0.6001;0.7592;0.7771;0.8482;0.665;0.3541;0.7784;0.5935;0.5876;0.9279
03173008;17/06/2020;031730082020061713;0.6048;0.5978;0.5509;0.7356;0.7036;0.9037;0.544;0.3238;0.6383;0.5535;0.5653;0.9259
03173008;21/08/2024;031730082024082113;0.502;0.5511;0.5263;0.8169;0.8987;0.7706;0.5715;0.2742;0.7336;0.6981;0.696;0.9385
03173273;18/06/2020;031732732020061813;0.5322;0.3894;0.4022;0.3849;0.5646;0.5177;0.3624;0.5498;0.5817;0.4064;0.7107;0.4139
03174000;08/08/2012;031740002012080813;0.5575;0.593;0.5182;0.526;0.5145;0.9094;0.7787;0.7197;0.6403;0.4228;0.6708;0.9188
03174000;29/08/2013;031740002013082913;0.5089;0.5148;0.2186;0.608;0.4651;0.8901;0.7377;0.6436;0.5753;0.4372;0.5308;0.945
03174000;30/09/2014;031740002014093013;0.5401;0.5126;0.1782;0.5614;0.4202;0.8586;0.7035;0.6886;0.557;0.4039;0.611;0.8876
03174000;01/09/2015;031740002015090113;0.5255;0.5235;0.2315;0.6118;0.5083;0.8907;0.6818;0.6685;0.6108;0.3686;0.6509;0.8707
03174000;21/09/2016;031740002016092113;0.5778;0.5512;0.2824;0.5262;0.4313;0.7822;0.5402;0.7326;0.5725;0.4229;0.6265;0.8549
03174000;26/09/2017;031740002017092613;0.5492;0.5349;0.3321;0.589;0.4366;0.8492;0.6466;0.6693;0.558;0.3465;0.6667;0.8484
03174000;29/08/2018;031740002018082913;0.5559;0.5631;0.2695;0.5571;0.4146;0.7896;0.5702;0.6934;0.5782;0.4218;0.6906;0.8915
03174000;03/10/2019;031740002019100313;0.5529;0.5639;0.3902;0.5393;0.4389;0.8096;0.6146;0.7289;0.5731;0.3671;0.7012;0.8315
03174000;06/10/2020;031740002020100613;0.5792;0.5872;0.4517;0.5325;0.4788;0.7837;0.5954;0.7279;0.6043;0.3954;0.7072;0.8551
03174000;02/09/2021;031740002021090213;0.6023;0.613;0.522;0.5702;0.4757;0.7547;0.5537;0.761;0.6561;0.4326;0.7033;0.8156
03174000;07/09/2022;031740002022090713;0.5509;0.5352;0.3996;0.5624;0.3796;0.6911;0.5901;0.6298;0.5186;0.4433;0.6978;0.8382
03174000;31/07/2023;031740002023073113;0.5719;0.629;0.5122;0.5732;0.4846;0.6303;0.5587;0.812;0.6656;0.3835;0.7663;0.7353
03174000;11/09/2024;031740002024091113;0.6026;0.6594;0.5458;0.5291;0.5095;0.6296;0.5951;0.8161;0.6771;0.4132;0.7853;0.5944
03174565;27/08/2012;031745652012082713;0.5483;0.5617;0.5196;0.8097;0.7166;0.6957;0.4522;0.2752;0.6019;0.7205;0.6129;0.8825
03174565;07/08/2013;031745652013080713;0.5793;0.6341;0.5785;0.8106;0.7234;0.8796;0.7007;0.3416;0.7003;0.6686;0.5464;0.9341
03174565;29/07/2015;031745652015072913;0.5836;0.5785;0.5167;0.8014;0.7014;0.8519;0.585;0.2429;0.5767;0.6565;0.5243;0.9047
03174565;06/07/2017;031745652017070613;0.6855;0.6177;0.5956;0.6018;0.607;0.6203;0.7076;0.3806;0.5692;0.5608;0.6003;0.7262
03174565;06/08/2019;031745652019080613;0.7212;0.7277;0.6755;0.4435;0.505;0.7209;0.688;0.6111;0.6427;0.4076;0.6705;0.7432
03174565;18/08/2021;031745652021081813;0.6398;0.6649;0.5692;0.5381;0.5487;0.7935;0.7407;0.5193;0.5911;0.469;0.6016;0.8399
03174565;18/07/2024;031745652024071813;0.6675;0.6688;0.6052;0.5179;0.5063;0.7077;0.7275;0.5674;0.5947;0.4419;0.6581;0.6767
03174615;23/04/2010;031746152010042313;0.2783;0.2661;0.1515;0.5872;0.7728;0.7142;0.5328;0.2733;0.595;0.5841;0.6169;0.7727
03174615;28/06/2011;031746152011062813;0.2659;0.183;0.0898;0.5418;0.6423;0.6555;0.6164;0.1786;0.4483;0.5359;0.6396;0.6773
03174615;07/08/2013;031746152013080713;0.5067;0.2991;0.2367;0.5457;0.6051;0.6474;0.562;0.2401;0.4761;0.5273;0.6454;0.6921
03174615;06/08/2019;031746152019080613;0.2165;0.2832;0.128;0.7593;0.6899;0.7439;0.6089;0.2195;0.5556;0.5876;0.6145;0.8232
