"code_station","Artificialisation","Agriculture","Foret","Eau","Zones_humides"
"03172150",16.147,49.439,31.615,2.798,0
"03172380",16.793,55.929,24.672,2.607,0
"03172385",14.482,43.359,37.876,4.283,0
"03172392",10.762,42.251,43.639,3.348,0
"03172471",18.204,39.816,37.673,4.307,0
"03173000",22.974,35.407,35.307,6.312,0
"03173008",23.224,38.219,32.521,6.036,0
"03173273",10.298,54.567,30.697,4.438,0
"03174000",18.19,42.258,28.513,11.038,0
"03174021",18.232,42.161,28.615,10.992,0
"03174211",20.434,33.946,40.733,4.887,0
"03174565",4.843,77.347,17.81,0,0
"03174615",1.489,95.356,3.155,0,0
"03174678",0.485,92.623,6.892,0,0
"03174680",0.795,94.993,4.212,0,0
"03174695",1.508,96.466,2.026,0,0
"03174712",3.575,95.978,0.447,0,0
"03174715",5.95,93.63,0.421,0,0
"03174748",5.588,93.367,1.038,0,0.006
"03174795",5.788,91.994,1.593,0,0.625
"03174815",7.331,89.106,3.157,0,0.406
"03174818",6.561,90.993,1.822,0,0.625
"03174823",6.93,89.672,2.774,0,0.625
"03174825",6.581,91.215,1.58,0,0.625
"03174837",6.475,89.71,3.191,0,0.625
"03174850",7.214,88.015,4.146,0,0.625
"03174875",8.064,86.65,4.662,0,0.625
"03174880",7.672,83.198,8.506,0,0.625
"03174950",2.613,79.691,17.071,0,0.625
"03175000",1.745,75.63,22.622,0,0.003
"03175850",13.254,61.546,24.108,1.092,0
"03176473",12.645,60.555,26.337,0.463,0
"03176540",12.774,59.625,26.461,1.14,0
"03176690",12.88,59.507,26.3,1.314,0
"03176700",12.746,59.462,26.253,1.539,0
"03176775",0.682,77.28,22.038,0,0
"03176825",5.347,80.598,14.055,0,0
"03176850",8.407,67.152,23.258,1.182,0
"03176880",5.126,90.683,4.191,0,0
"03176905",7.416,70.41,20.14,2.033,0
"03176945",12.147,63.879,21.718,2.256,0
"03178000",6.39,63.065,29.677,0.868,0
"03178005",6.453,61.751,30.738,1.058,0
"03178123",7.733,48.543,40.755,2.97,0
"03178240",14.327,47.571,34.35,3.752,0
"03178319",4.613,80.814,14.573,0,0
"03178325",2.788,85.548,11.664,0,0
"03178341",0.733,88.925,10.342,0,0
"03178348",1.053,83.988,14.958,0,0
"03178469",0.694,85.212,14.094,0,0
"03178474",0.839,82.313,16.849,0,0
"03178520",2.95,69.81,27.24,0,0
"03178570",2.354,57.413,40.233,0,0
"03178660",2.601,74.895,22.505,0,0
"03178692",2.828,62.131,35.041,0,0
"03178794",5.962,55.164,38.874,0,0
"03178830",5.041,87.8,7.159,0,0
"03178835",4.044,83.537,12.419,0,0
"03178870",4.925,70.739,24.336,0,0
"03178889",5.284,61.096,33.62,0,0
"03179000",5.955,54.385,39.661,0,0
"03179055",6.047,53.371,40.582,0,0
"03179100",6.08,51.401,42.519,0,0
"03179556",4.838,64.336,30.826,0,0
"03179690",6.499,58.25,35.252,0,0
"03179740",7.449,52.213,40.338,0,0
"03180100",8.4,56.228,35.372,0,0
"03180406",8.098,52.915,38.372,0.615,0
"03180626",11.181,47.833,34.814,6.172,0
"03180725",12.997,45.223,33.132,8.649,0
"03180737",13.104,45.444,32.687,8.764,0
"03180787",13.894,46.213,30.924,8.97,0
"03180875",15.817,45.132,29.765,9.286,0
"03180923",16.87,43.639,30.072,9.42,0
"03181000",18.312,40.921,31.131,9.637,0
"03182000",7.049,66.211,24.094,2.645,0
"03182100",8.467,58.962,28.572,3.999,0
"03182406",12.751,66.082,21.167,0,0
"03182411",17.893,47.335,34.771,0,0
"03182415",21.783,39.705,37.789,0.723,0
"03182446",31.147,24.853,38.919,5.081,0
"03182669",30.364,22.518,44.102,3.017,0
"03183000",25.154,34.478,32.7,7.667,0
"03183200",42.012,32.139,21.864,3.985,0
"03183460",79.633,2.208,14.846,3.314,0
"03183556",68.142,4.485,24.316,3.056,0
"03183758",26.61,14.405,55.627,3.358,0
"03183950",18.338,22.352,55.587,3.723,0
"03184000",13.4,27.919,55.321,3.36,0
"03184370",11.784,45.916,34.117,8.183,0
"03184850",9.849,35.88,48.776,5.495,0
"03185000",6.582,60.84,28.094,4.484,0
"03185161",4.859,63.756,26.349,5.035,0
"03185620",20.333,62.664,11.844,5.158,0
"03185625",18.491,65.686,10.02,5.802,0
"03185805",23.283,59.59,15.786,1.341,0
