code_station,cat5,pourcentage
"03172150",Artificialisation,16.147
"03172150",Agriculture,49.439
"03172150",Foret,31.615
"03172150",Eau,2.798
"03172380",Artificialisation,16.793
"03172380",Agriculture,55.929
"03172380",Foret,24.672
"03172380",Eau,2.607
"03172385",Artificialisation,14.482
"03172385",Agriculture,43.359
"03172385",Foret,37.876
"03172385",Eau,4.283
"03172392",Artificialisation,10.762
"03172392",Agriculture,42.251
"03172392",Foret,43.639
"03172392",Eau,3.348
"03172471",Artificialisation,18.204
"03172471",Agriculture,39.816
"03172471",Foret,37.673
"03172471",Eau,4.307
"03173000",Artificialisation,22.974
"03173000",Agriculture,35.407
"03173000",Foret,35.307
"03173000",Eau,6.312
"03173008",Artificialisation,23.224
"03173008",Agriculture,38.219
"03173008",Foret,32.521
"03173008",Eau,6.036
"03173273",Artificialisation,10.298
"03173273",Agriculture,54.567
"03173273",Foret,30.697
"03173273",Eau,4.438
"03174000",Artificialisation,18.190
"03174000",Agriculture,42.258
"03174000",Foret,28.513
"03174000",Eau,11.038
"03174021",Artificialisation,18.232
"03174021",Agriculture,42.161
"03174021",Foret,28.615
"03174021",Eau,10.992
"03174211",Artificialisation,20.434
"03174211",Agriculture,33.946
"03174211",Foret,40.733
"03174211",Eau,4.887
"03174565",Artificialisation,4.843
"03174565",Agriculture,77.347
"03174565",Foret,17.810
"03174615",Artificialisation,1.489
"03174615",Agriculture,95.356
"03174615",Foret,3.155
"03174678",Artificialisation,0.485
"03174678",Agriculture,92.623
"03174678",Foret,6.892
"03174680",Artificialisation,0.795
"03174680",Agriculture,94.993
"03174680",Foret,4.212
"03174695",Artificialisation,1.508
"03174695",Agriculture,96.466
"03174695",Foret,2.026
"03174712",Artificialisation,3.575
"03174712",Agriculture,95.978
"03174712",Foret,0.447
"03174715",Artificialisation,5.950
"03174715",Agriculture,93.630
"03174715",Foret,0.421
"03174748",Artificialisation,5.588
"03174748",Agriculture,93.367
"03174748",Foret,1.038
"03174748",Zones_humides,0.006
"03174795",Artificialisation,5.788
"03174795",Agriculture,91.994
"03174795",Foret,1.593
"03174795",Zones_humides,0.625
"03174815",Artificialisation,7.331
"03174815",Agriculture,89.106
"03174815",Foret,3.157
"03174815",Zones_humides,0.406
"03174818",Artificialisation,6.561
"03174818",Agriculture,90.993
"03174818",Foret,1.822
"03174818",Zones_humides,0.625
"03174823",Artificialisation,6.930
"03174823",Agriculture,89.672
"03174823",Foret,2.774
"03174823",Zones_humides,0.625
"03174825",Artificialisation,6.581
"03174825",Agriculture,91.215
"03174825",Foret,1.580
"03174825",Zones_humides,0.625
"03174837",Artificialisation,6.475
"03174837",Agriculture,89.710
"03174837",Foret,3.191
"03174837",Zones_humides,0.625
"03174850",Artificialisation,7.214
"03174850",Agriculture,88.015
"03174850",Foret,4.146
"03174850",Zones_humides,0.625
"03174875",Artificialisation,8.064
"03174875",Agriculture,86.650
"03174875",Foret,4.662
"03174875",Zones_humides,0.625
"03174880",Artificialisation,7.672
"03174880",Agriculture,83.198
"03174880",Foret,8.506
"03174880",Zones_humides,0.625
"03174950",Artificialisation,2.613
"03174950",Agriculture,79.691
"03174950",Foret,17.071
"03174950",Zones_humides,0.625
"03175000",Artificialisation,1.745
"03175000",Agriculture,75.630
"03175000",Foret,22.622
"03175000",Zones_humides,0.003
"03175850",Artificialisation,13.254
"03175850",Agriculture,61.546
"03175850",Foret,24.108
"03175850",Eau,1.092
"03176473",Artificialisation,12.645
"03176473",Agriculture,60.555
"03176473",Foret,26.337
"03176473",Eau,0.463
"03176540",Artificialisation,12.774
"03176540",Agriculture,59.625
"03176540",Foret,26.461
"03176540",Eau,1.140
"03176690",Artificialisation,12.880
"03176690",Agriculture,59.507
"03176690",Foret,26.300
"03176690",Eau,1.314
"03176700",Artificialisation,12.746
"03176700",Agriculture,59.462
"03176700",Foret,26.253
"03176700",Eau,1.539
"03176775",Artificialisation,0.682
"03176775",Agriculture,77.280
"03176775",Foret,22.038
"03176825",Artificialisation,5.347
"03176825",Agriculture,80.598
"03176825",Foret,14.055
"03176850",Artificialisation,8.407
"03176850",Agriculture,67.152
"03176850",Foret,23.258
"03176850",Eau,1.182
"03176880",Artificialisation,5.126
"03176880",Agriculture,90.683
"03176880",Foret,4.191
"03176905",Artificialisation,7.416
"03176905",Agriculture,70.410
"03176905",Foret,20.140
"03176905",Eau,2.033
"03176945",Artificialisation,12.147
