"code_station","libelle_station","uri_station","coordonnee_x","coordonnee_y","code_cours_eau","libelle_cours_eau","code_masse_eau","libelle_masse_eau","code_dep","date_premier_prelevement","date_dernier_prelevement","coordonnees","typologie","altitude","reseau","StrahlMax"
"03172150","RU DE BLARU A VERNON 1","https://id.eaufrance.fr/StationMesureEauxSurface/03172150",590994,6886038,"H3200650","Cours d'Eau 06 de la Commune de Blaru","HR230C-H3200650","ru de Blaru","27",2014-08-18,2020-06-17,"(590994, 6886038)","TP9","40","0",NA
"03172380","LE RUISSEAU DE SAINT-OUEN A SAINT-ETIENNE-SOUS-BAILLEUL 1","https://id.eaufrance.fr/StationMesureEauxSurface/03172380",582869,6892271,NA,NA,"HR230C-H3209000","ruisseau de Saint Ouen","27",2017-09-12,2020-06-17,"(582869, 6892271)",NA,NA,NA,NA
"03172385","LE RUISSEAU DE SAINT OUEN A SAINT-PIERRE-LA-GARENNE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03172385",584494.7,6894787.24,NA,NA,"HR230C-H3209000","ruisseau de Saint Ouen","27",2012-09-04,2013-08-05,"(584494.7, 6894787.24)","TP9","16","0",NA
"03172392","LE RUISSEAU DE SAINTE-GENEVIEVE A NOTRE-DAME-DE-L'ISLE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03172392",586115,6896582,NA,NA,"HR230C-H3211000","ruisseau du Catenay","27",2014-07-28,2020-06-17,"(586115, 6896582)","P9-A","31","0",NA
"03172471","LA SEINE A SAINT-PIERRE-LA-GARENNE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03172471",583380,6896990,"H3215002","Dérivation de Notre Dame de la Garenne",NA,NA,"27",1997-11-05,1997-11-05,"(583380, 6896990)",NA,NA,NA,NA
"03173000","LA SEINE A COURCELLES-SUR-SEINE 3","https://id.eaufrance.fr/StationMesureEauxSurface/03173000",579962,6898961,"----0010","La Seine","HR230C","La Seine du confluent de l Epte  inclus  au confluent de l Andelle  exclu","27",2010-06-30,2024-09-17,"(579962, 6898961)","TG9","10","RCB",NA
"03173008","RU DU CANAL A AUBEVOYE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03173008",579372,6898560,NA,NA,"HR230C-H3213000","ru du Canal","27",2014-07-28,2024-08-21,"(579372, 6898560)","TP9","13","0",NA
"03173273","RU DE THUIT AUX ANDELYS 1","https://id.eaufrance.fr/StationMesureEauxSurface/03173273",582022,6907314,NA,NA,"HR230C-H3220650","ru de la commune du Thuit","27",2017-09-12,2020-06-18,"(582022, 6907314)",NA,NA,NA,NA
"03174000","LA SEINE A POSES 2","https://id.eaufrance.fr/StationMesureEauxSurface/03174000",571754,6913715,"----0010","La Seine","HR230C","La Seine du confluent de l Epte  inclus  au confluent de l Andelle  exclu","27",1995-06-08,2024-10-03,"(571754, 6913715)","TG9","10","RCS-RBOU",NA
"03174021","LA SEINE A POSES 1","https://id.eaufrance.fr/StationMesureEauxSurface/03174021",571733,6913730,NA,NA,NA,NA,"27",1985-11-14,2004-09-30,"(571733, 6913730)",NA,NA,NA,NA
"03174211","LA SEINE A PONT-DE-L'ARCHE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03174211",566059,6913566,NA,NA,"HT01","Estuaire de Seine amont Poses  dulcaquicole","27",2010-11-17,2022-08-18,"(566059, 6913566)",NA,NA,"0",NA
"03174565","L'EPTE A LE FOSSE 1","https://id.eaufrance.fr/StationMesureEauxSurface/03174565",596894,6946504,"H31-0400","L'Epte","HR234","L Epte de sa source au confluent du ru de Goulancourt  inclus","76",2012-08-27,2024-07-18,"(596894, 6946504)","P9","144","RCO",NA
"03174615","LE RUISSEAU D'HALESCOURT A HAUSSEZ 1","https://id.eaufrance.fr/StationMesureEauxSurface/03174615",603034.12,6944247.9,"H3107000","Ruisseau d'Halescourt","HR234-H3107000","ruisseau d Halescourt","76",2010-04-23,2024-08-21,"(603034.12, 6944247.9)","TP9","134","0",NA
"03174678","LA MESANGUEVILLE A DAMPIERRE EN BRAY 3","https://id.eaufrance.fr/StationMesureEauxSurface/03174678",601035.12,6938327.5,NA,NA,"HR234-H3109000","la Mesangueville","76",2013-05-26,2014-08-21,"(601035.12, 6938327.5)","TP9","107","ACQ",NA
